,material_id,material_formula,,,replace_id
11,mp-24864,CoO,mp-22408,,mp-22408
124,mp-561689,CsLiMoO4,mp-551629,,mp-551629
145,mp-763348,Li2MnF4,mp-758876,,mp-758876
159,mp-761325,Li2MnSiO4,mp-752844,,mp-752844
161,mp-765904,Li2FeSiO4,mp-752853,,mp-752853
214,mp-639402,K3VO4,mp-19052,,mp-19052
216,mp-764673,Na3VO4,mp-752917,,mp-752917
234,mp-559146,La2MoO6,mp-546007,,mp-546007
236,mp-615152,MnF2,mp-615138,,mp-615138
252,mp-778780,VBO4,mp-754594,,mp-754594
256,mp-764338,FePO4,mp-760343,,mp-760343
260,mp-765875,LiMnPO4,mp-753011,,mp-753011
261,mp-767069,LiVSiO4,mp-753343,,mp-753343
263,mp-770986,LiVBO4,mp-754909,,mp-754909
264,mp-762631,LiFeSiO4,mp-752925,,mp-752925
265,mp-762221,LiCoSiO4,mp-758521,,mp-758521
289,mp-765859,LiMnPO4,mp-753382,,mp-753382
290,mp-772012,LiFePO4,mp-754357,,mp-754357
291,mp-777130,Li2FeF4,mp-755718,,mp-755718
306,mp-565669,Cr2AgBiO8,mp-559885,,mp-559885
363,mp-557739,CoBiO3,,,NaN
364,mp-25119,VPbO3,mp-20032,,mp-20032
367,mp-12992,BaTiO3,mp-5986,,mp-5986
376,mp-766115,LiCrO2,mp-753227,,mp-753227
377,mp-774101,LiFeO2,mp-754977,,mp-754977
410,mp-690635,K2NaVOF5,mp-39843,,mp-39843
418,mp-770252,CaNiO3,,,NaN
424,mp-766842,TaCrO4,mp-753467,,mp-753467
425,mp-774003,VRhO4,,,NaN
426,mp-776939,LiVF4,mp-755244,,mp-755244
427,mp-772246,TaVO4,mp-755190,,mp-755190
429,mp-765437,NbCrO4,,mp-754908,mp-754908
430,mp-765436,FeSbO4,,,NaN
438,mp-765135,WOF4,mp-752955,,mp-752955
441,mp-699343,Li4MoO5,mp-675020,,mp-675020
444,mp-613442,LiIO3,mp-22955,,mp-22955
447,mp-625052,NaHO,mp-625051,,mp-625051
451,mp-24927,CrHO2,mp-23910,,mp-23910
452,mp-774147,FeHO2,mp-755285,,mp-755285
468,mp-24942,FeBiO3,mp-22949,,mp-22949
480,mp-766864,LiVF6,mp-753212,,mp-753212
501,mp-24932,FeBiO3,mp-23501,,mp-23501
505,mp-557515,CrBiO3,mp-546027,,mp-546027
514,mp-853130,TiNiO3,mp-850194,,mp-850194
517,mp-779948,ZrMnO3,mp-754513,,mp-754513
520,mp-764698,LiVF3,mp-752764,,mp-752764
528,mp-765198,Li3MnF7,mp-759724,,mp-759724
529,mp-765182,Li3VF7,mp-759421,,mp-759421
534,mp-853165,Li5CoOF5,mp-850339,,mp-850339
535,mp-765877,Li5NiOF5,mp-753062,,mp-753062
536,mp-764320,Li5MnOF5,mp-760276,,mp-760276
545,mp-766917,LiVF6,mp-757163,,mp-757163
554,mp-557733,KNiIO6,mp-550959,,mp-550959
557,mp-561926,NaNiIO6,mp-545399,,mp-545399
567,mp-549166,SiO2,mp-6930,,mp-6930
