,ata_energy,data_energy_per_atom,data_volume,data_formation_energy_per_atom,data_nsites,data_nelements,data_e_above_hull,data_band_gap,data_density,data_total_magnetization,data_oxide_num,G_Reuss,G_VRH,G_Voigt,G_Voigt_Reuss_Hill,K_Reuss,K_VRH,K_Voigt,K_Voigt_Reuss_Hill,elastic_anisotropy,elastic_tensor00,elastic_tensor01,elastic_tensor02,elastic_tensor03,elastic_tensor04,elastic_tensor05,elastic_tensor10,elastic_tensor11,elastic_tensor12,elastic_tensor13,elastic_tensor14,elastic_tensor15,elastic_tensor20,elastic_tensor21,elastic_tensor22,elastic_tensor23,elastic_tensor24,elastic_tensor25,elastic_tensor30,elastic_tensor31,elastic_tensor32,elastic_tensor33,elastic_tensor34,elastic_tensor35,elastic_tensor40,elastic_tensor41,elastic_tensor42,elastic_tensor43,elastic_tensor44,elastic_tensor45,elastic_tensor50,elastic_tensor51,elastic_tensor52,elastic_tensor53,elastic_tensor54,elastic_tensor55,homogeneous_poisson,poisson_ratio,universal_anisotropy,compliance_tensor00,compliance_tensor01,compliance_tensor02,compliance_tensor03,compliance_tensor04,compliance_tensor05,compliance_tensor10,compliance_tensor11,compliance_tensor12,compliance_tensor13,compliance_tensor14,compliance_tensor15,compliance_tensor20,compliance_tensor21,compliance_tensor22,compliance_tensor23,compliance_tensor24,compliance_tensor25,compliance_tensor30,compliance_tensor31,compliance_tensor32,compliance_tensor33,compliance_tensor34,compliance_tensor35,compliance_tensor40,compliance_tensor41,compliance_tensor42,compliance_tensor43,compliance_tensor44,compliance_tensor45,compliance_tensor50,compliance_tensor51,compliance_tensor52,compliance_tensor53,compliance_tensor54,compliance_tensor55,nsites,eij_max,piezoelectric_tensor00,piezoelectric_tensor01,piezoelectric_tensor02,piezoelectric_tensor03,piezoelectric_tensor04,piezoelectric_tensor05,piezoelectric_tensor10,piezoelectric_tensor11,piezoelectric_tensor12,piezoelectric_tensor13,piezoelectric_tensor14,piezoelectric_tensor15,piezoelectric_tensor20,piezoelectric_tensor21,piezoelectric_tensor22,piezoelectric_tensor23,piezoelectric_tensor24,piezoelectric_tensor25,v_max00,v_max01,v_max02,e_electronic00,e_electronic01,e_electronic02,e_electronic10,e_electronic11,e_electronic12,e_electronic20,e_electronic21,e_electronic22,e_total00,e_total01,e_total02,e_total10,e_total11,e_total12,e_total20,e_total21,e_total22,n,poly_electronic,poly_total
0,-37.57938671,-4.69742333875,226.02188571427035,-0.9400140390625004,8,3,0.0,2.0454,5.821252442068851,0.0,0,5.0,7.0,9.0,7.0,25.0,25.0,25.0,25.0,4.14,48.0,14.0,14.0,0.0,0.0,0.0,14.0,48.0,14.0,0.0,0.0,0.0,14.0,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.38,0.38,4.14,24.0,-5.4,-5.4,0.0,0.0,0.0,-5.4,24.0,-5.4,-0.0,0.0,-0.0,-5.4,-5.4,24.0,0.0,-0.0,0.0,0.0,-0.0,0.0,309.4,-0.0,-0.0,0.0,0.0,-0.0,-0.0,309.4,-0.0,0.0,-0.0,0.0,-0.0,-0.0,309.4,8,0.41367333333333317,0.0,0.0,0.0,-0.41367333333333306,0.0,0.0,0.0,0.0,0.0,0.0,-0.41367333333333317,0.0,0.0,0.0,0.0,0.0,0.0,-0.4136733333333331,0.0,0.0,1.0,7.421752000000006,0.0,0.0,0.0,7.421752000000006,0.0,0.0,0.0,7.421752000000006,23.267248666666674,0.0,0.0,0.0,23.267248666666667,0.0,23.267248666666667,23.267248666666667,23.267248666666667,2.7242892651111785,7.421752000000006,23.26724866666667
1,-32.09090906,-4.0113636325,202.9421253026121,-0.6188816720052084,8,3,0.0,1.7173999999999996,4.791076152756863,1.265e-05,0,17.0,18.0,19.0,18.0,52.0,52.0,52.0,52.0,0.65,71.0,44.0,44.0,0.0,0.0,0.0,44.0,71.0,44.0,0.0,0.0,0.0,44.0,44.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.35,0.35,0.65,28.4,-9.6,-13.2,0.0,0.0,-0.0,-9.6,28.4,-13.2,-0.0,0.0,0.0,-13.2,-13.2,34.6,0.0,0.0,-0.0,0.0,-0.0,0.0,43.7,0.0,-0.0,0.0,0.0,0.0,0.0,43.7,0.0,-0.0,0.0,-0.0,-0.0,0.0,39.3,8,0.2368349999999999,0.0,0.0,0.0,-0.2368349999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.2368349999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.022830000000000017,0.0,1.0,0.0,7.067766000000002,0.0,0.0,0.0,7.067766000000002,-2.239238005946396e-17,0.0,-2.239238005946396e-17,6.787520999999999,9.702574000000002,0.0,0.0,0.0,9.702574000000002,-3.274131999745277e-17,9.29281,9.29281,9.29281,2.6408996573137724,6.974351000000001,9.565986
2,-34.42757382,-4.3034467275,130.96010007901293,-2.538103977125,8,3,0.0017271900000004,6.6749,3.1565572398261263,0.0,0,10.0,10.0,11.0,10.0,22.0,22.0,22.0,22.0,0.64,36.0,20.0,12.0,0.0,0.0,0.0,20.0,37.0,12.0,0.0,0.0,0.0,12.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.3,0.3,0.64,40.8,-20.4,-6.1,0.0,-0.0,-0.0,-20.4,40.6,-6.1,0.0,-0.0,0.0,-6.1,-6.1,28.8,-0.0,0.0,-0.0,0.0,0.0,-0.0,132.3,0.0,-0.0,-0.0,-0.0,0.0,0.0,132.6,0.0,-0.0,0.0,-0.0,-0.0,0.0,59.6,8,0.16111925800474627,-0.10768999999999998,-0.10506000000000001,-0.057659999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9256120000000005,0.0,0.0,0.0,1.898045,0.0,0.0,0.0,1.9518679999999997,7.939696000000001,0.0,0.0,0.0,5.640023,0.0,6.610816,6.610816,6.610816,1.387506756740305,1.925175,6.730178333333334
3,-59.67319189,-7.45914898625,88.01548130249711,-0.5128051387499992,8,2,0.0,0.1663999999999994,6.333879997782489,4.875e-06,0,138.0,139.0,139.0,139.0,211.0,211.0,211.0,211.0,0.06,374.0,130.0,130.0,0.0,0.0,0.0,130.0,374.0,130.0,0.0,0.0,0.0,130.0,130.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.23,0.23,0.06,3.3,-0.8,-0.8,0.0,0.0,0.0,-0.8,3.3,-0.8,0.0,0.0,0.0,-0.8,-0.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,6.6,8,1.14189,0.0,0.0,0.0,1.14189,0.0,0.0,0.0,0.0,0.0,0.0,1.14189,0.0,0.0,0.0,0.0,0.0,0.0,1.14189,1.0,0.0,0.0,77.04500600000001,0.0,0.0,0.0,77.04500600000001,0.0,0.0,0.0,77.04500600000001,98.49675400000001,0.0,0.0,0.0,98.49675400000002,0.0,98.49675400000001,98.49675400000001,98.49675400000001,8.777528467626865,77.04500600000001,98.49675400000001
4,-16.19948778,-2.31421254,242.3391578960871,-0.2287727371428567,7,3,0.0,0.8462000000000001,5.723582169337429,2.25e-05,0,8.0,8.0,9.0,8.0,13.0,14.0,14.0,14.0,0.91,22.0,12.0,9.0,0.0,0.0,0.0,12.0,22.0,9.0,0.0,0.0,0.0,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.24,0.24,0.91,69.8,-29.6,-20.4,-0.0,0.0,0.0,-29.6,69.8,-20.4,0.0,0.0,0.0,-20.4,-20.4,75.3,-0.0,0.0,0.0,-0.0,0.0,-0.0,101.2,0.0,0.0,0.0,0.0,0.0,0.0,101.2,0.0,0.0,0.0,0.0,0.0,0.0,67.1,7,0.12872,0.0,0.0,0.0,-0.12872,0.0,0.0,0.0,0.0,0.0,0.0,-0.12872,0.0,0.0,0.0,0.0,0.0,0.0,-0.1184,0.0,1.0,0.0,7.093743,0.0,0.0,0.0,7.093743,3.469346273350928e-17,0.0,3.469346273350928e-17,7.585330999999997,10.045151999999998,0.0,0.0,0.0,10.045151999999998,9.574874311764491e-17,11.401860999999997,11.401860999999997,11.401860999999997,2.693994370199512,7.257605666666666,10.497388333333332
5,-34.44992191,-5.741653651666667,151.92919187298403,-1.7535467168750003,6,2,0.0,3.2037,1.4003950306506645,0.0,1,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,1.02,7.0,3.0,3.0,0.0,0.0,0.0,3.0,8.0,4.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.26,0.26,1.02,187.7,-36.3,-55.9,0.0,0.0,0.0,-36.3,167.2,-61.9,0.0,0.0,0.0,-55.9,-61.9,168.8,0.0,0.0,0.0,0.0,0.0,0.0,597.9,0.0,0.0,0.0,0.0,0.0,0.0,171.4,0.0,0.0,0.0,0.0,0.0,0.0,379.2,6,0.71291,0.0,0.0,0.0,0.0,0.0,-0.71291,0.07964,-0.10545999999999998,0.054980000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.021909999999999985,0.0,0.0,1.0,0.0,0.0,2.944035,0.0,0.0,0.0,2.056692,0.0,0.0,0.0,2.2566209999999995,443.609402,0.0,0.0,0.0,2.255529,0.0,4.514996,4.514996,4.514996,1.555350764297237,2.4191159999999994,150.12664233333334
6,-17.20334104,-5.734447013333334,63.42327981062593,-0.9040369283333346,3,3,0.0,0.3481000000000005,9.042786209418765,0.0004542,0,55.0,56.0,57.0,56.0,76.0,76.0,76.0,76.0,0.15,169.0,30.0,30.0,0.0,0.0,0.0,30.0,169.0,30.0,0.0,0.0,0.0,30.0,30.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.2,0.2,0.15,6.3,-0.9,-0.9,0.0,-0.0,0.0,-0.9,6.3,-0.9,-0.0,0.0,-0.0,-0.9,-0.9,6.3,-0.0,-0.0,0.0,0.0,-0.0,-0.0,20.5,-0.0,-0.0,-0.0,0.0,-0.0,0.0,20.5,-0.0,0.0,-0.0,0.0,-0.0,-0.0,20.5,3,0.2337433333333335,0.0,0.0,0.0,-0.2337433333333335,0.0,0.0,0.0,0.0,0.0,0.0,-0.23374333333333341,0.0,0.0,0.0,0.0,0.0,0.0,-0.2337433333333334,1.0,0.0,0.0,18.655805000000036,0.0,0.0,0.0,18.655805000000036,0.0,0.0,0.0,18.655805000000036,21.53823400000004,0.0,0.0,0.0,21.53823400000004,0.0,21.53823400000004,21.53823400000004,21.53823400000004,4.319236622367433,18.655805000000036,21.538234000000035
7,-46.22863547,-5.77857943375,74.39087356573184,-2.406028331875,8,3,0.0485526250000001,2.917,4.750973583385163,0.0001285,1,76.0,83.0,90.0,83.0,163.0,165.0,166.0,165.0,0.97,255.0,134.0,131.0,0.0,0.0,0.0,134.0,255.0,131.0,0.0,0.0,0.0,131.0,131.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.28,0.28,0.97,6.4,-1.8,-3.1,-0.0,0.0,-0.0,-1.8,6.4,-3.1,0.0,0.0,0.0,-3.1,-3.1,9.2,-0.0,0.0,0.0,-0.0,0.0,-0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,-0.0,0.0,0.0,0.0,0.0,8.9,8,0.48724999999999974,0.0,0.0,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.48724999999999974,0.0,0.0,1.0,3.8863879999999984,0.0,0.0,0.0,3.8863879999999984,0.0,0.0,0.0,3.798887,8.83154,0.0,0.0,0.0,8.83154,0.0,10.054268,10.054268,10.054268,1.9639809062208315,3.857220999999999,9.239116000000001
8,-23.28687602,-3.881146003333333,157.03366415445,-0.3085447211904763,6,3,0.0,0.6498999999999997,3.651843010887187,0.0,0,6.0,12.0,18.0,12.0,19.0,36.0,52.0,36.0,10.82,98.0,38.0,42.0,0.0,0.0,0.0,38.0,98.0,42.0,0.0,0.0,0.0,42.0,42.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.35,0.35,10.82,34.8,18.0,-74.5,0.0,0.0,-0.0,18.0,34.8,-74.5,0.0,0.0,-0.0,-74.5,-74.5,244.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,-0.0,0.0,0.0,0.0,0.0,-0.0,76.9,0.0,-0.0,-0.0,0.0,0.0,0.0,33.4,6,0.5269310536493401,0.0,0.0,0.0,0.0,-0.3143349795017736,0.0,0.0,0.0,0.0,-0.3143350239445278,0.0,0.0,-0.3503599752318988,-0.35036002476810474,-0.17931000000000005,0.0,0.0,0.0,0.0,-0.0,-1.0,11.934167156334325,2.7845163859844327e-16,0.0,2.7845163859844327e-16,11.934168843665647,0.0,0.0,0.0,8.208382,17.943013231519892,4.1865517291310147e-16,1.1293772630057337e-21,4.1865517291310147e-16,17.943015768421535,3.833304962201066e-38,13.409699000000002,13.409699000000002,13.409699000000002,3.2698989790715745,10.692239333333324,16.43190933331381
9,-27.47486532,-3.434358165,246.59893832591263,-0.6284545066666665,8,3,0.0,1.9666,4.469387747889063,1.155e-05,0,11.0,13.0,14.0,13.0,27.0,27.0,27.0,27.0,0.97,37.0,19.0,23.0,0.0,0.0,0.0,19.0,37.0,23.0,0.0,0.0,0.0,23.0,23.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.3,0.3,0.97,45.4,-9.5,-21.7,0.0,-0.0,-0.0,-9.5,45.4,-21.7,0.0,-0.0,0.0,-21.7,-21.7,52.4,-0.0,0.0,0.0,0.0,0.0,-0.0,52.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,52.0,0.0,-0.0,0.0,0.0,-0.0,0.0,70.9,8,0.028699999999999976,0.0,0.0,0.0,0.028699999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.028699999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.020080000000000042,0.0,1.0,0.0,7.200475999999998,0.0,0.0,0.0,7.200475999999998,5.657524862346227e-17,0.0,5.657524862346227e-17,7.9654380000000025,9.676472999999998,0.0,0.0,0.0,9.676472999999998,1.0233018382042935e-16,11.060094000000003,11.060094000000003,11.060094000000003,2.7304694346088794,7.455463333333333,10.13768
